Stock Data
==================================================
Data retrieved on: 2025-07-13 07:39:37

Date         Open     High     Low      Close    Volume      
------------------------------------------------------------
2025-06-13   209.96   214.05   209.62   212.1    29337763.0  
2025-06-16   212.31   217.06   211.6    216.1    33284158.0  
2025-06-17   215.2    217.41   214.56   214.82   32086262.0  
2025-06-18   215.09   217.96   212.34   212.52   44360509.0  
2025-06-20   214.68   214.89   208.27   209.69   75350733.0  
2025-06-23   209.79   210.39   207.31   208.47   37311725.0  
2025-06-24   212.14   214.34   211.04   212.77   38378757.0  
2025-06-25   214.62   216.03   211.11   211.99   31755698.0  
2025-06-26   213.12   218.04   212.01   217.12   50480814.0  
2025-06-27   219.92   223.3    216.74   223.3    119217138.0 
2025-06-30   223.52   223.82   219.12   219.39   58887780.0  
2025-07-01   219.5    221.88   217.93   220.46   39256830.0  
2025-07-02   219.73   221.6    219.06   219.92   30894178.0  
2025-07-03   221.82   224.01   221.36   223.41   29632353.0  
2025-07-07   223.0    224.29   222.37   223.47   36604139.0  
2025-07-08   223.92   224.0    218.43   219.36   45691987.0  
2025-07-09   221.07   224.29   220.47   222.54   38155121.0  
2025-07-10   221.55   222.79   219.7    222.26   30370591.0  
2025-07-11   223.58   226.68   222.37   225.02   50518307.0  
